variables,measurement_unit,allowed_values,description,comments
emissions_per_unit_of_output_kg_straw_kgco2e_kg_output,kgco2e/kg,numeric,Emissions per unit of output - straw,
emissions_per_unit_of_output_kg_straw_kgco2e_kg_output_sc,kgco2e/kg,numeric,Emissions per unit of output - straw - soil carbon,
emissions_per_adjusted_hectare_kgco2e_ha,kgco2e/ha,numeric,Emissions per adjusted hectare,
emissions_per_adjusted_hectare_kgco2e_ha_sc,kgco2e/ha,numeric,Emissions per adjusted hectare - soil carbon,
,,,,
WHOLE_FARM,,,Whole farm,
BEEF,,,Beef,
SHEEP,,,Sheep,
DAIRY,,,Dairy,
PIGS,,,Pigs,
POULTRY,,,Poultry,
FORAGE,,,Forage,
G1,,,Rough grazing,
G2,,,Biodiversity,
G4,,,Pasture grazing,
G5,,,Silage and graze,
G6,,,Hay and graze,
F1,,,Kale / stubble turnips / swedes / etc,
F2,,,Fodder beet,
F3,,,Wholecrop cereals,
F4,,,Forage maize,
F5,,,"Legumes foragews (clovers, lucerne)",
C1,,,Feed wheat -grain,
C1_1,,,Milling wheat - grain,
C2,,,Feed winter barley - grain,
C2_1,,,Malting winter barley,
C3,,,Feed spring barley - grain,
C3_1,,,Malting spring barley - grain,
C4,,,Winter oats - grain,
C5,,,Spring oats - grain,
C5_1,,,"Minor cereals (rye, triticale) - grain",
C6,,,Oilseed rape - seed,
C7,,,Field beans - seed,
C8,,,Field peas - seed,
C9,,,Grain maize - grain,
H1,,,Hedgrows > 30 yrs,
H2,,,Hedgrerows < 30 yrs,
W1,,,Broadleaved > 20 yrs,
W2,,,Broadleaved 10-20 yrs,
W3,,,Broadleaved < 10 yrs,
W4,,,Conifer > 20 yrs,
W5,,,Conifer 10-20 yrs,
W6,,,Conifer < 10 yrs,
M1,,,"Roads, Yards and Buildings",
T1,,,Total area (ha),
P1,,,Seed potatoes,
P2,,,Early potatoes,
P3,,,Maincrop ware potatoes,
P4,,,Maincrop processing potatoes,
R1,,,Sugar beet,
R2,,,Swedes/turnips,
R3,,,Carrots ,
R4,,,Other root vegtables,
V1,,,Processing peas,
V2,,,Processing beans,
V3,,,Other legume veg,
V4,,,Cabbages,
V5,,,Cauliflower,
